threshold,precision,recall,f1,f2,predicted_suspicious,model
0.5,0.07269458001541228,0.9554355165428764,0.13510932875011936,0.2786639883414077,19465,LightGBM
0.6,0.09186420644822378,0.9446320054017556,0.16744464392579295,0.3306859547109157,15229,LightGBM
0.7,0.12012846107108759,0.9345037137069547,0.21289032456545146,0.39667526511894524,11521,LightGBM
0.8,0.17043326257959795,0.9216745442268738,0.2876712328767123,0.48984425464724035,8009,LightGBM
0.9,0.2999325994158616,0.9014179608372721,0.45010114632501685,0.6433734939759036,4451,LightGBM
