threshold,precision,recall,f1,f2,predicted_suspicious,model
0.5,0.05056049478160031,0.8831870357866306,0.09564549742239772,0.205699188526137,25870,Random Forest
0.6,0.08096645675363064,0.8507765023632681,0.14786129202605175,0.2932141859815694,15562,Random Forest
0.7,0.14273689273689275,0.8014854827819041,0.2423190772685516,0.41678370786516855,8316,Random Forest
0.8,0.2874828060522696,0.7056043214044565,0.40852228303362004,0.5466052934407365,3635,Random Forest
0.9,0.666083916083916,0.5145172180958811,0.5805714285714285,0.5390492359932089,1144,Random Forest
