name,precision,recall,f1,pr_auc,roc_auc,threshold,train_time_s,inference_time_s,latency_ms_per_sample,throughput_rows_s,train_memory_delta_mb,infer_memory_delta_mb,model_size_mb
LightGBM,0.8244067796610169,0.8210668467251857,0.8227334235453315,0.8666192531178825,0.9975618199929983,0.977055019010244,82.48612310001045,6.989461599994684,0.004902380818777974,203982.52134343,-596.98828125,179.671875,0.6956672668457031
XGBoost,0.7843388960205392,0.8251181634031061,0.8042119118130964,0.8608404123284468,0.9970498778892749,0.9699623584747314,82.01601520000258,1.6907355999865104,0.0011858752861601304,843258.9933111808,-297.80859375,100.5703125,0.8236465454101562
Random Forest,0.4597927972372965,0.6293045239702904,0.5313568985176739,0.5985446045042785,0.9923996506123485,0.8556220353434268,94.53049169998849,2.0570277999795508,0.0014427911915733931,693100.9877524131,-794.8828125,179.609375,1.0297784805297852
